query_id,query_time_range,refer_id,refer_time_range
05ca4056-b91d-11e9-ad99-fa163ee49799,23000|88000,2447052500,3486000|6512000
0607ed76-b98a-11e9-8b81-fa163ee49799,1000|72000,1629260900,3582000|5183000
0627def6-b93a-11e9-b8ed-fa163e063a2b,9000|57000,1804298400,73000|3641000
06425dfc-b94a-11e9-8b81-fa163ee49799,1000|118000,1396771700,56000|890000
06497d76-b986-11e9-9c9e-fa163e3d9e3c,60000|147000,1396771700,84000|950000
06b2b0b0-b91e-11e9-81a2-fa163e3d9e3c,61000|148000,1862132800,73000|5721000
06b68062-b853-11e9-9336-fa163ee49799,24000|115000,3166859000,4036000|4136000
06b9a24c-b925-11e9-b8ed-fa163e063a2b,29000|126000,1502559900,4516000|6068000
06f35352-b9a7-11e9-9c9e-fa163e3d9e3c,2000|123000,1396771700,49000|965000
07214594-b904-11e9-ad99-fa163ee49799,12000|114000,2342638000,718000|5381000
0733026a-b90f-11e9-8127-fa163e063a2b,52000|116000,666051400,683000|821000
0749ad32-b980-11e9-8b81-fa163ee49799,8000|113000,1662856300,2266000|4701000
075d0ca2-b970-11e9-8b81-fa163ee49799,1000|85000,1415151600,1333000|4220000
079ada22-b8fe-11e9-81a2-fa163e3d9e3c,40000|141000,1396771700,51000|957000
07ae5568-b8f7-11e9-ad99-fa163ee49799,1000|80000,2274699000,3330000|3409000
07b833d0-b910-11e9-81a2-fa163e3d9e3c,67000|132000,1773350800,1537000|1930000
07f36902-b963-11e9-8b81-fa163ee49799,3000|58000,1376903200,931000|4154000
08061a00-b956-11e9-8b81-fa163ee49799,1000|40000,2845332600,45000|3539000
083cf3e4-b916-11e9-ad99-fa163ee49799,1000|72000,2400411900,5413000|6184000
0848ab6e-b8f6-11e9-ad99-fa163ee49799,8000|51000,2274699000,2141000|2184000
089465ba-b91c-11e9-81a2-fa163e3d9e3c,66000|121000,1711822000,692000|746000
0902b1ae-b936-11e9-b8ed-fa163e063a2b,12000|66000,1396771700,57000|728000
0912c802-b907-11e9-ad99-fa163ee49799,18000|79000,2342638000,2577000|5680000
0964a07e-b938-11e9-8b81-fa163ee49799,1000|32000,2927857700,4642000|8025000
09775170-b8f6-11e9-81a2-fa163e3d9e3c,7000|170000,1629260900,4108000|4759000
0a0403e6-b954-11e9-8b81-fa163ee49799,3000|94000,2845332600,1403000|1494000
0a168a40-b916-11e9-ad99-fa163ee49799,1000|73000,2400411900,6097000|6169000
0a1d25b4-b905-11e9-81a2-fa163e3d9e3c,10000|136000,1396771700,49000|889000
0a42ddb8-b96e-11e9-8b81-fa163ee49799,5000|187000,1396771700,57000|945000
0a548944-b8c1-11e9-930e-fa163ee49799,28000|160000,1396771700,62000|959000
0a6fc0dc-b84a-11e9-9336-fa163ee49799,2000|84000,3048666200,1400000|3012000
0aaac3aa-b9a1-11e9-9c9e-fa163e3d9e3c,4000|162000,1396771700,54000|978000
0adbbcf6-b935-11e9-8b81-fa163ee49799,14000|59000,2927857700,829000|3030000
0af2bf74-b916-11e9-8127-fa163e063a2b,1000|101000,1396771700,68000|882000
0b01e128-b8ff-11e9-8127-fa163e063a2b,13000|194000,1396771700,58000|951000
0b8209c4-b923-11e9-b8ed-fa163e063a2b,41000|106000,1502559900,2370000|5778000
0b8f456c-b94b-11e9-8b81-fa163ee49799,1000|46000,1952297000,2950000|3037000
0bb142be-b871-11e9-b45b-fa163ee49799,1000|93000,2704085800,2362000|2455000
0bb9b950-b8f6-11e9-ad99-fa163ee49799,12000|70000,2274699000,2264000|7387000
0bcff9f0-b98b-11e9-b8ed-fa163e063a2b,8000|106000,1396771700,56000|964000
0bd39dc8-b998-11e9-b8ed-fa163e063a2b,56000|125000,1534060400,2487000|4491000
0c423244-b851-11e9-9336-fa163ee49799,1000|63000,3166859000,1802000|2319000
0c5b369e-b93d-11e9-9c9e-fa163e3d9e3c,48000|123000,1782169900,3460000|6273000
0ccd2790-b8b1-11e9-930e-fa163ee49799,1000|109000,1773351300,59000|480000
0cf943b2-b90f-11e9-8127-fa163e063a2b,1000|138000,1629260900,4741000|5188000
0d0e9a7e-b855-11e9-9336-fa163ee49799,34000|133000,3009055500,167000|4671000
0d6306d4-b956-11e9-b8ed-fa163e063a2b,32000|117000,1374493200,616000|5065000
0d78dc62-b991-11e9-b8ed-fa163e063a2b,48000|81000,1352596100,3704000|3762000
0e5230bc-b8f0-11e9-ad99-fa163ee49799,1000|68000,1244621900,366000|429000
0e59cb90-b96f-11e9-8b81-fa163ee49799,1000|66000,1415151600,2722000|2813000
0e5f0596-b8f3-11e9-8127-fa163e063a2b,53000|103000,339077200,214000|382000
0e75ad44-b90e-11e9-8127-fa163e063a2b,16000|74000,374102500,811000|952000
0e82a692-b8d8-11e9-930e-fa163ee49799,8000|70000,1193884300,1292000|1386000
0e9d10a6-b96c-11e9-8b81-fa163ee49799,18000|138000,1396771700,36000|893000
0eac8200-b8f6-11e9-ad99-fa163ee49799,1000|45000,2274699000,2261000|2313000
0ec877c6-b905-11e9-ad99-fa163ee49799,1000|107000,2342638000,273000|3600000
0edb5a60-b97f-11e9-b8ed-fa163e063a2b,79000|165000,1804317800,5035000|7709000
0f0797a0-b953-11e9-9c9e-fa163e3d9e3c,20000|92000,2303359200,209000|2963000
0f0a7f1c-b956-11e9-9c9e-fa163e3d9e3c,47000|138000,2274916400,189000|4165000
0f0da18c-b907-11e9-ad99-fa163ee49799,3000|35000,2342638000,3880000|5674000
0f32d89a-b997-11e9-8b81-fa163ee49799,1000|74000,1356122300,431000|501000
0f5041ce-b9a0-11e9-8b81-fa163ee49799,1000|78000,1530507600,674000|4289000
0f7da6b4-b97d-11e9-9c9e-fa163e3d9e3c,24000|129000,2888057700,5587000|6678000
0f915be8-b917-11e9-8127-fa163e063a2b,21000|141000,1396771700,57000|965000
0fbcfeba-b8bd-11e9-930e-fa163ee49799,1000|98000,1396771700,61000|942000
0fdc2c06-b92e-11e9-9c9e-fa163e3d9e3c,23000|138000,1753812600,1382000|4788000
0fe3dce0-b955-11e9-8b81-fa163ee49799,1000|81000,2845332600,2267000|2422000
10481252-b98f-11e9-9c9e-fa163e3d9e3c,54000|140000,2507307200,914000|7791000
10a2573e-b995-11e9-b8ed-fa163e063a2b,10000|153000,1396771700,57000|978000
10c391f8-b952-11e9-9c9e-fa163e3d9e3c,73000|127000,2303359200,558000|3716000
10c8077e-b91b-11e9-8127-fa163e063a2b,28000|94000,1804190100,3803000|3869000
10de714a-b915-11e9-81a2-fa163e3d9e3c,10000|56000,1911399900,303000|349000
1111ed3e-b903-11e9-8127-fa163e063a2b,80000|143000,409903800,496000|539000
1113afba-b922-11e9-8b81-fa163ee49799,21000|129000,2620315400,1248000|3172000
113ec310-b960-11e9-8b81-fa163ee49799,5000|153000,1396771700,54000|748000
114a5f9c-b8f5-11e9-ad99-fa163ee49799,54000|115000,2274699000,1046000|1107000
119eefb6-b987-11e9-8b81-fa163ee49799,1000|143000,1629260900,4179000|5167000
123699d6-b99d-11e9-8b81-fa163ee49799,1000|106000,1396771700,49000|966000
12a7e788-b8e1-11e9-bf24-fa163ee49799,54000|111000,1226686400,1511000|1577000
12ce0d1a-b921-11e9-9c9e-fa163e3d9e3c,57000|147000,1782169900,4342000|5308000
12dcae08-b96f-11e9-8b81-fa163ee49799,35000|107000,1415151600,2722000|3564000
1341a23c-b874-11e9-b45b-fa163ee49799,4000|43000,2801578300,1543000|1582000
134f0b02-b94b-11e9-8b81-fa163ee49799,5000|110000,1396771700,313000|744000
13514492-b8da-11e9-930e-fa163ee49799,11000|205000,1396771700,84000|959000
1394de58-b8ff-11e9-ad99-fa163ee49799,3000|91000,2310133000,3789000|3877000
13a75556-b959-11e9-9c9e-fa163e3d9e3c,73000|117000,2274916400,3702000|3746000
13abc450-b955-11e9-8b81-fa163ee49799,25000|140000,1629260900,4176000|4748000
13abced2-b969-11e9-9c9e-fa163e3d9e3c,47000|159000,2360445100,212000|7728000
13d92f38-b97f-11e9-8b81-fa163ee49799,15000|165000,1662856300,2589000|4260000
13e3962c-b942-11e9-8b81-fa163ee49799,1000|85000,3043930400,770000|7213000
13f555d2-b998-11e9-8b81-fa163ee49799,4000|63000,1467027700,1164000|3355000
1425c2b0-b995-11e9-8b81-fa163ee49799,1000|74000,1398481500,1988000|2059000
144cb3ca-b927-11e9-9c9e-fa163e3d9e3c,15000|108000,1940114900,1261000|8201000
1457d5d2-b974-11e9-8b81-fa163ee49799,4000|154000,1396771700,21000|889000
145ca2b0-b90b-11e9-81a2-fa163e3d9e3c,1000|116000,1396771700,61000|991000
147b35c6-b8df-11e9-bf24-fa163ee49799,1000|125000,1396771700,58000|950000
14b69a58-b920-11e9-8127-fa163e063a2b,1000|178000,1396771700,593000|744000
15ad373e-b90f-11e9-ad99-fa163ee49799,49000|134000,2367850000,6607000|6759000
15b9efe0-b97f-11e9-b8ed-fa163e063a2b,82000|177000,1804317800,6554000|6649000
15dfe186-b863-11e9-9336-fa163ee49799,70000|133000,2509505900,1453000|2198000
15f89b9c-b933-11e9-8b81-fa163ee49799,11000|71000,1396771700,58000|950000
16011116-b94f-11e9-8b81-fa163ee49799,19000|86000,3055779500,210000|1705000
16053696-b969-11e9-8b81-fa163ee49799,1000|159000,1396771700,57000|885000
16441abe-b9a5-11e9-8b81-fa163ee49799,8000|112000,1596058300,3572000|4634000
166a0c38-b919-11e9-ad99-fa163ee49799,5000|88000,2447052500,2854000|3171000
16e45d00-b971-11e9-8b81-fa163ee49799,21000|70000,1500872700,616000|4630000
16fcb662-b8e4-11e9-bf24-fa163ee49799,26000|91000,1176745900,436000|504000
1713d184-b85e-11e9-9336-fa163ee49799,13000|249000,1396771700,54000|951000
171c8ab0-b857-11e9-9336-fa163ee49799,2000|98000,3009055500,2364000|4277000
17293632-b94e-11e9-b8ed-fa163e063a2b,2000|145000,1396771700,62000|961000
17474fa6-b9a2-11e9-b8ed-fa163e063a2b,89000|171000,1473745600,6545000|6626000
179a2df6-b86d-11e9-b45b-fa163ee49799,5000|194000,1396771700,68000|964000
17dec6e4-b950-11e9-8b81-fa163ee49799,50000|133000,3055779500,496000|1833000
17fea154-b986-11e9-8b81-fa163ee49799,31000|97000,1500744900,647000|4439000
18695b98-b8ff-11e9-ad99-fa163ee49799,2000|76000,2310133000,3787000|3971000
18e9379a-b94b-11e9-8b81-fa163ee49799,8000|107000,1952297000,1313000|3169000
191735ee-b858-11e9-9336-fa163ee49799,18000|95000,3009055500,1911000|5166000
19415620-b90d-11e9-ad99-fa163ee49799,54000|111000,2367850000,4894000|7496000
1989b15c-b996-11e9-8b81-fa163ee49799,5000|166000,1396771700,57000|961000
19b31ea2-b90f-11e9-ad99-fa163ee49799,28000|72000,2367850000,2226000|6864000
19caa9d2-b98c-11e9-9c9e-fa163e3d9e3c,14000|90000,2507307200,217000|6442000
19d76b52-b989-11e9-8b81-fa163ee49799,29000|135000,1396771700,72000|747000
19dcc876-b917-11e9-81a2-fa163e3d9e3c,39000|88000,1901179600,436000|6260000
1a16ded2-b924-11e9-b8ed-fa163e063a2b,63000|115000,1502559900,413000|6692000
1a9b1ba6-b8fd-11e9-ad99-fa163ee49799,1000|100000,2310133000,445000|1842000
1acce672-b966-11e9-9c9e-fa163e3d9e3c,26000|88000,2598171100,3070000|7778000
1acf07cc-b8f8-11e9-ad99-fa163ee49799,1000|121000,1396771700,54000|950000
1aee300a-b8dc-11e9-bf24-fa163ee49799,1000|32000,1402364300,1047000|3704000
1af04f1c-b85e-11e9-9336-fa163ee49799,1000|66000,2929626300,849000|2428000
1b3271c6-b95d-11e9-8b81-fa163ee49799,1000|71000,1421444400,903000|986000
1b451b0c-b956-11e9-8b81-fa163ee49799,7000|77000,1396771700,62000|755000
1b4c3ccc-b99f-11e9-8b81-fa163ee49799,28000|117000,1396771700,61000|889000
1b55f73c-b849-11e9-9336-fa163ee49799,106000|141000,3048666200,94000|3680000
1b8e91fa-b916-11e9-ad99-fa163ee49799,4000|73000,2400411900,3766000|6162000
1b9105d0-b8f2-11e9-81a2-fa163e3d9e3c,16000|157000,1396771700,49000|950000
1bf887be-b91a-11e9-ad99-fa163ee49799,38000|80000,2447052500,2450000|7625000
1c00c720-b966-11e9-b8ed-fa163e063a2b,3000|100000,1396771700,49000|776000
1c0b8952-b99e-11e9-9c9e-fa163e3d9e3c,26000|143000,1629256800,4154000|4643000
1c1ebe26-b851-11e9-9336-fa163ee49799,81000|166000,3166859000,2361000|6052000
1c36a766-b905-11e9-ad99-fa163ee49799,6000|168000,1396771700,56000|885000
1c77b0ba-b925-11e9-b8ed-fa163e063a2b,60000|105000,1502559900,4608000|4684000
1cb6b5f6-b918-11e9-ad99-fa163ee49799,74000|177000,2447052500,1512000|1613000
1cdf4318-b8ff-11e9-ad99-fa163ee49799,1000|133000,1629260900,3289000|5186000
1ce0a724-b979-11e9-8b81-fa163ee49799,73000|131000,1447221500,3786000|4052000
1ce622a0-b92c-11e9-8b81-fa163ee49799,43000|126000,2718954900,783000|6659000
1d21cbfe-b939-11e9-8b81-fa163ee49799,2000|186000,1629260900,1119000|5186000
1d2573e6-b8c4-11e9-930e-fa163ee49799,35000|109000,3060804900,4052000|4148000
1d27fbac-b950-11e9-9c9e-fa163e3d9e3c,22000|58000,1818601700,1097000|3636000
1d48d0d0-b986-11e9-8b81-fa163ee49799,32000|110000,1500744900,4420000|4528000
1d53890a-b966-11e9-8b81-fa163ee49799,2000|105000,1353433800,188000|576000
1d7c9d8e-b909-11e9-ad99-fa163ee49799,1000|69000,2367850000,206000|284000
1d84b1b6-b947-11e9-9c9e-fa163e3d9e3c,18000|68000,1928274600,699000|3172000
1e2fbc06-b97d-11e9-8b81-fa163ee49799,17000|150000,1396771700,318000|747000
1e31c516-b999-11e9-9c9e-fa163e3d9e3c,12000|81000,2436435900,204000|5215000
1e373b08-b864-11e9-9336-fa163ee49799,1000|82000,2604467800,688000|878000
1e5613b4-b956-11e9-9c9e-fa163e3d9e3c,33000|135000,2274916400,343000|4666000
1e5be93a-b945-11e9-9c9e-fa163e3d9e3c,40000|114000,1661703600,1883000|5454000
1e5c88d2-b8f9-11e9-81a2-fa163e3d9e3c,84000|151000,2820368700,477000|3622000
1e7cd990-b8b6-11e9-930e-fa163ee49799,4000|77000,2832620300,364000|4279000
1e8989c0-b8dd-11e9-bf24-fa163ee49799,1000|58000,1402364300,2386000|2461000
1ea7e580-b975-11e9-9c9e-fa163e3d9e3c,33000|138000,2791972500,12000|6113000
1ea988b2-b962-11e9-8b81-fa163ee49799,1000|80000,1376903200,561000|644000
1eb5ea2a-b968-11e9-8b81-fa163ee49799,2000|91000,1443620200,1290000|4504000
1efd2954-b92b-11e9-9c9e-fa163e3d9e3c,14000|114000,1396771700,57000|950000
1f56cf0a-b858-11e9-9336-fa163ee49799,1000|67000,3009055500,3098000|3294000
1f8db37e-b977-11e9-8b81-fa163ee49799,1000|53000,1447221500,2219000|2384000
1facba6c-b90e-11e9-8127-fa163e063a2b,29000|95000,374102500,84000|1025000
1fecde34-b932-11e9-b8ed-fa163e063a2b,51000|135000,1351499800,1393000|1472000
20812778-b861-11e9-9336-fa163ee49799,1000|55000,2509505900,322000|1864000
20d078b4-b979-11e9-8b81-fa163ee49799,1000|49000,1447221500,3124000|3876000
20e619a0-b8dc-11e9-bf24-fa163ee49799,3000|92000,1396771700,61000|995000
214ac402-b951-11e9-9c9e-fa163e3d9e3c,13000|83000,1818601700,661000|4703000
21712514-b8e5-11e9-bf24-fa163ee49799,4000|75000,1176745900,1247000|2825000
21781a6e-b939-11e9-8b81-fa163ee49799,3000|63000,2927857700,3470000|6020000
2179c626-b94c-11e9-9c9e-fa163e3d9e3c,8000|110000,1396771700,57000|885000
21935606-b9a4-11e9-8b81-fa163ee49799,4000|90000,1396771700,57000|836000
219e2430-b8de-11e9-bf24-fa163ee49799,1000|63000,1402364300,2953000|3026000
21c471fa-b918-11e9-8127-fa163e063a2b,1000|119000,1396771700,51000|965000
21d44fae-b9a8-11e9-b8ed-fa163e063a2b,8000|173000,1396771700,58000|964000
21eb2ef2-b919-11e9-ad99-fa163ee49799,29000|133000,2447052500,2852000|3705000
2206843a-b96f-11e9-8b81-fa163ee49799,32000|98000,1415151600,2807000|3870000
2242b7ce-b849-11e9-9336-fa163ee49799,1000|38000,3048666200,821000|4593000
229d9780-b956-11e9-8b81-fa163ee49799,3000|36000,2845332600,3706000|3838000
22b32664-b93c-11e9-9c9e-fa163e3d9e3c,46000|98000,1782169900,5022000|5083000
23256868-b870-11e9-b45b-fa163ee49799,1000|70000,2704085800,1585000|1705000
233d6f5c-b9a7-11e9-8b81-fa163ee49799,31000|139000,1629256800,381000|4524000
23722276-b941-11e9-b8ed-fa163e063a2b,8000|103000,1804298400,143000|3929000
23779f50-b8bd-11e9-930e-fa163ee49799,21000|80000,1396771700,49000|667000
239617c0-b93d-11e9-9c9e-fa163e3d9e3c,34000|109000,1818601700,744000|4841000
23972ffa-b949-11e9-9c9e-fa163e3d9e3c,33000|85000,1928274600,3328000|6776000
23bfc94e-b91a-11e9-ad99-fa163ee49799,24000|66000,2447052500,3705000|3739000
23d83f0c-b98c-11e9-b8ed-fa163e063a2b,89000|119000,1308046100,5275000|5889000
243ba996-b902-11e9-ad99-fa163ee49799,22000|120000,2310133000,6936000|7014000
243fccd8-b952-11e9-8b81-fa163ee49799,1000|105000,3203967000,754000|1633000
244304b0-b8f4-11e9-81a2-fa163e3d9e3c,1000|110000,1396771700,47000|949000
24698a6c-b8fa-11e9-81a2-fa163e3d9e3c,6000|120000,1396771700,58000|950000
24cc9570-b8e2-11e9-bf24-fa163ee49799,28000|161000,1396771700,57000|970000
24f345b2-b937-11e9-8b81-fa163ee49799,4000|60000,2927857700,3819000|4968000
24f86a82-b9a6-11e9-9c9e-fa163e3d9e3c,14000|110000,1753376800,3913000|4010000
24feddbc-b970-11e9-b8ed-fa163e063a2b,6000|55000,1396771700,49000|611000
252c8bfe-b911-11e9-ad99-fa163ee49799,1000|61000,2400411900,1654000|2072000
255c34e0-b97e-11e9-8b81-fa163ee49799,17000|137000,1396771700,57000|925000
259af17a-b96b-11e9-b8ed-fa163e063a2b,19000|78000,1804315200,841000|5182000
25ce188c-b850-11e9-9336-fa163ee49799,3000|52000,3166859000,1534000|1593000
25fbf036-b940-11e9-9c9e-fa163e3d9e3c,56000|131000,1627286600,3024000|5235000
2652dba8-b9a4-11e9-b8ed-fa163e063a2b,11000|159000,1396771700,69000|890000
265478bc-b924-11e9-8b81-fa163ee49799,1000|91000,2620315400,5003000|5130000
267debb0-b94d-11e9-8b81-fa163ee49799,8000|58000,1887729500,1640000|2473000
26a04e50-b8e7-11e9-bf24-fa163ee49799,1000|169000,1396771700,432000|961000
26b0a7ee-b934-11e9-8b81-fa163ee49799,3000|60000,2927857700,410000|2064000
26c7bbf8-b990-11e9-8b81-fa163ee49799,50000|153000,1596046700,700000|4925000
26eea74c-b853-11e9-9336-fa163ee49799,3000|43000,1396771700,59000|959000
273453f6-b8b6-11e9-930e-fa163ee49799,102000|193000,2832620300,546000|3044000
277e43fc-b952-11e9-8b81-fa163ee49799,1000|106000,3203967000,1516000|1620000
279aee20-b994-11e9-8b81-fa163ee49799,1000|58000,1398481500,906000|1098000
280a0c6e-b92c-11e9-8b81-fa163ee49799,1000|69000,2718954900,6670000|6737000
284e6d82-b97c-11e9-8b81-fa163ee49799,1000|54000,1323656900,1648000|1698000
2893e668-b84c-11e9-9336-fa163ee49799,1000|53000,3048666200,2731000|2782000
2895ec16-b995-11e9-8b81-fa163ee49799,9000|124000,1396771700,49000|883000
28a2a398-b99a-11e9-b8ed-fa163e063a2b,10000|114000,1396771700,49000|978000
28e7d16a-b95f-11e9-8b81-fa163ee49799,1000|96000,1421444400,2365000|2458000
28edc868-b90f-11e9-ad99-fa163ee49799,4000|100000,2367850000,2375000|7055000
28fe8904-b8de-11e9-bf24-fa163ee49799,37000|152000,1396771700,54000|950000
2945635a-b862-11e9-9336-fa163ee49799,1000|75000,2509505900,516000|1341000
2951cf72-b8ea-11e9-bf24-fa163ee49799,70000|178000,1339112900,257000|1645000
295c10f4-b92b-11e9-8b81-fa163ee49799,15000|60000,2718954900,2043000|5780000
29b13ba6-b91c-11e9-8127-fa163e063a2b,12000|71000,1804190100,4788000|4858000
29b52846-b909-11e9-81a2-fa163e3d9e3c,16000|64000,1234417600,2787000|4056000
2a7d993a-b93a-11e9-8b81-fa163ee49799,1000|65000,2927857700,7036000|7098000
2a85b558-b84e-11e9-9336-fa163ee49799,2000|201000,1396771700,49000|950000
2b14b584-b941-11e9-8b81-fa163ee49799,1000|67000,3043930400,6131000|6414000
2b4b5602-b932-11e9-8b81-fa163ee49799,1000|93000,2817413400,1447000|5936000
2b6c18e8-b94f-11e9-b8ed-fa163e063a2b,24000|93000,1396771700,306000|871000
2b6e254e-b8cc-11e9-930e-fa163ee49799,58000|124000,1193884300,286000|398000
2becb604-b8fc-11e9-ad99-fa163ee49799,1000|56000,2310133000,791000|1746000
2c414a2a-b97e-11e9-8b81-fa163ee49799,1000|67000,1662856300,1885000|1950000
2ca12d6c-b92b-11e9-b8ed-fa163e063a2b,44000|97000,1598981800,2730000|2783000
2ce7d2ba-b95f-11e9-8b81-fa163ee49799,51000|145000,1421444400,2345000|4467000
2d196650-b8e1-11e9-bf24-fa163ee49799,53000|107000,1226686400,1646000|1701000
2d6e02bc-b910-11e9-81a2-fa163e3d9e3c,4000|157000,1396771700,58000|992000
2dd4c632-b8b1-11e9-930e-fa163ee49799,1000|85000,1773351300,429000|528000
2e1e23e0-b8e8-11e9-bf24-fa163ee49799,1000|80000,1293727100,191000|269000
2e1f3480-b995-11e9-8b81-fa163ee49799,2000|86000,1398481500,2130000|3032000
2e745344-b96c-11e9-8b81-fa163ee49799,1000|80000,1415151600,43000|524000
2ec443c8-b97a-11e9-b8ed-fa163e063a2b,78000|128000,1804317800,1427000|1476000
2efcd172-b914-11e9-ad99-fa163ee49799,1000|83000,2400411900,4284000|4583000
2f3b7a78-b98a-11e9-8b81-fa163ee49799,1000|69000,1629260900,32000|3761000
2f6bbe1a-b9a6-11e9-8b81-fa163ee49799,1000|105000,1629256800,196000|4862000
2f8bf4d2-b8d9-11e9-930e-fa163ee49799,1000|49000,1193884300,2249000|2559000
3027d67e-b878-11e9-b45b-fa163ee49799,27000|132000,1743437800,211000|1456000
310c85e6-b8f3-11e9-81a2-fa163e3d9e3c,6000|123000,1396771700,58000|965000
311e7052-b8f9-11e9-ad99-fa163ee49799,2000|48000,2274699000,2184000|5189000
312744c2-b942-11e9-8b81-fa163ee49799,49000|120000,3043930400,3321000|8048000
315215ce-b930-11e9-b8ed-fa163e063a2b,42000|146000,1600623900,674000|777000
319a9182-b90d-11e9-ad99-fa163ee49799,6000|35000,1629260900,1580000|4754000
319fd8d6-b96c-11e9-8b81-fa163ee49799,10000|78000,1415151600,459000|4177000
31d24dca-b90d-11e9-81a2-fa163e3d9e3c,14000|131000,1396771700,54000|937000
31efa2e2-b8c4-11e9-930e-fa163ee49799,1000|91000,3060804900,1633000|4249000
3216946c-b917-11e9-ad99-fa163ee49799,4000|76000,1396771700,56000|962000
3253b378-b913-11e9-ad99-fa163ee49799,2000|85000,2400411900,3674000|5083000
32d0d7fe-b8be-11e9-930e-fa163ee49799,3000|47000,2945744900,122000|2639000
32f676c0-b8ba-11e9-930e-fa163ee49799,1000|71000,2832620300,2887000|3641000
32fb46f8-b9a7-11e9-8b81-fa163ee49799,1000|86000,1629256800,1152000|4532000
332042ae-b9a8-11e9-8b81-fa163ee49799,1000|104000,1629256800,765000|4715000
33253a12-b939-11e9-b8ed-fa163e063a2b,2000|53000,1396771700,58000|748000
332d17de-b928-11e9-8b81-fa163ee49799,2000|65000,1396771700,57000|965000
333c20e4-b8d3-11e9-930e-fa163ee49799,6000|164000,1396771700,259000|843000
338fdb58-b97d-11e9-8b81-fa163ee49799,16000|136000,1662856300,935000|2319000
339f1642-b8ea-11e9-bf24-fa163ee49799,1000|76000,1339112900,573000|648000
33a1d8e8-b924-11e9-b8ed-fa163e063a2b,70000|172000,1502559900,457000|6008000
33b8f9ae-b976-11e9-8b81-fa163ee49799,33000|126000,1447221500,1180000|4152000
33bc7e54-b989-11e9-8b81-fa163ee49799,8000|176000,1629260900,2599000|5198000
340a3842-b95c-11e9-9c9e-fa163e3d9e3c,62000|135000,2909399800,2742000|5356000
340d3720-b95e-11e9-8b81-fa163ee49799,31000|90000,1421444400,1779000|1819000
342cdf9a-b8f4-11e9-ad99-fa163ee49799,3000|189000,1396771700,49000|998000
345df1be-b996-11e9-b8ed-fa163e063a2b,1000|152000,1396771700,61000|951000
348d72f4-b905-11e9-ad99-fa163ee49799,1000|63000,2342638000,2724000|2914000
34e644ce-b900-11e9-81a2-fa163e3d9e3c,5000|152000,1396771700,49000|950000
